Accession	Virus_Name	NCBI_Taxonomy	Viruses	Realm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species
YP_009553496	Ribes americanum virus A	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Ravavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Ravavirus	-	-
YP_009553497	Ribes americanum virus A	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Ravavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Ravavirus	-	-
YP_009553498	Ribes americanum virus A	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Ravavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Ravavirus	-	-
YP_009553499	Ribes americanum virus A	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Ravavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Ravavirus	-	-
YP_009553500	Ribes americanum virus A	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Ravavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Ravavirus	-	-
YP_009553501	Nephila clavipes virus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Pisoniviricetes	-	Picornavirales	-	-	-	-	-	-
YP_009553502	Helianthus annuus alphaendornavirus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Endornaviridae	-	Alphaendornavirus	-	-
YP_009553503	Actinidia seed borne latent virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Prunevirus;Prunevirus actinidiae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Prunevirus	-	-
YP_009553504	Actinidia seed borne latent virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Prunevirus;Prunevirus actinidiae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Prunevirus	-	-
YP_009553505	Actinidia seed borne latent virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Prunevirus;Prunevirus actinidiae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Prunevirus	-	-
YP_009553506	Actinidia seed borne latent virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Prunevirus;Prunevirus actinidiae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Prunevirus	-	-
YP_009553508	Lily yellow mosaic virus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae;Potyvirus;Potyvirus yililii	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Stelpaviricetes	-	Patatavirales	-	Potyviridae	-	Potyvirus	-	-
YP_009553536	Cacao swollen shoot Ghana J virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
